char,readings
百万,ひゃくまん
四百,よんひゃく
五百,ごひゃく
二百,にひゃく
竹の子,たけのこ
竹,たけ
糸,いと
耳,みみ
耳打ち,みみうち
虫,むし
村,むら
村人,むらびと
男,おとこ
町,まち
花,はな
花火,はなび
花見,はなみ
見る,みる
見える,みえる
見せる,みせる
見分ける,みわける
見方,みかた
月見,つきみ
貝,かい
赤,あか
赤ちゃん,あかちゃん
足りる,たりる
足,あし
不足,ふそく
車,くるま
車内,しゃない
世,よ
二世,にせい
三世,さんせい
主に,おもに
主人,しゅじん
仕方,しかた
仕方がない,しかたがない
他,ほか
他人,たにん
代わる,かわる
一代,いちだい
代用,だいよう
写す,うつす
写る,うつる
号,ごう
中央,ちゅうおう
平ら,たいら
平日,へいじつ
打つ,うつ
一打,いちだ
氷,こおり
かき氷,かきごおり
申す,もうす
申し申し,もうしもうし;もしもし
皮,かわ
皿,さら
小皿,こざら
お礼,おれい
不正,ふせい
交ぜる,まぜる
大会,たいかい
会う,あう
光,ひかり
光年,こうねん
月光,げっこう
日光,にっこう
同じ,おなじ
同日,どうじつ
回,かい
回る,まわる
一回,いっかい
今回,こんかい
毎回,まいかい
多い,おおい
多分,たぶん
当たる,あたる
当たり,あたり
毎月,まいつき;まいげつ
毎日,まいにち
毎年,まいとし;まいねん
池,いけ
米,こめ
羽,はね
考え,かんがえ
考える,かんがえる
考え方,かんがえかた
肉,にく
牛肉,ぎゅうにく
皮肉,ひにく
自分,じぶん
自立,じりつ
色,いろ
色々,いろいろ
水色,みずいろ
行く,いく
行う,おこなう
行き,ゆき;いき
西,にし
北西,ほくせい
何千,なんぜん
何,なに;なん
何人,なんにん
何月,なんがつ
何日,なんにち
何年,なんねん
何回,なんかい
学ぶ,まなぶ
学生,がくせい
学年,がくねん
入学,にゅうがく
工学,こうがく
大学,だいがく
休学,きゅうがく
林,はやし
空気,くうき
空,そら
金,きん
金玉,きんたま
お金,おかね
雨,あめ
青い,あおい
青年,せいねん
草,くさ
音,おと
作る,つくる
体,からだ
体力,たいりょく
体内,たいない
作文,さくぶん
作用,さよう
工作,こうさく
大作,たいさく
図,ず
声,こえ
大声,おおごえ
売る,うる
売り上げ,うりあげ
売り切れ,うりきれ
売り手,うりて
弟,おとうと
兄弟,きょうだい
形,かたち
ハート形,はーとがた;ハートがた
来る,くる
来月,らいげつ
来年,らいねん
古来,こらい
外来,がいらい
年来,ねんらい
社内,しゃない
入社,にゅうしゃ
公社,こうしゃ
本社,ほんしゃ
会社,かいしゃ
角,かく;かど
三角,さんかく
四角,しかく
言う,いう
谷,たに
走る,はしる
走行,そうこう
近い,ちかい
近日,きんじつ
近年,きんねん
麦,むぎ
文化,ぶんか
地,ち
地下,ちか
土地,とち
地図,ちず
両手,りょうて
両日,りょうじつ
両方,りょうほう
全て,すべて
全力,ぜんりょく
全日本,ぜんにほん;ぜんにっぽん
安全,あんぜん
方向,ほうこう
安い,やすい
安心,あんしん
不安,ふあん
平安,へいあん
州,しゅう
九州,きゅうしゅう
本州,ほんしゅう
曲,きょく
名曲,めいきょく
有る,ある
有名,ゆうめい
次,つぎ
次回,じかい
目次,もくじ
年次,ねんじ
死ぬ,しぬ
死体,したい
死亡,しぼう
羊,ひつじ
羊毛,ようもう
血,ち
出血,しゅっけつ
国,くに
中国,ちゅうごく
天国,てんごく
全国,ぜんこく
四国,しこく
外国,がいこく
外国人,がいこくじん
米国,べいこく
夜,よる
今夜,こんや
姉妹,しまい
妹,いもうと
お姉さん,おねえさん
店,みせ
明るい,あかるい
不明,ふめい
東方,とうほう
東北,とうほく
中東,ちゅうとう
南東,なんとう
歩く,あるく
直す,なおす
直る,なおる
正直,しょうじき
直行,ちょっこう
長い,ながい
社長,しゃちょう
前,まえ
午前,ごぜん
南,みなみ
後ろ,うしろ
後で,あとで
午後,ごご
思う,おもう
星,ほし
生活,せいかつ
海,うみ
海外,かいがい
点,てん
科学,かがく
お茶,おちゃ
茶色,ちゃいろ
食べる,たべる
首,くび
足首,あしくび
首になる,くびになる
欠点,けってん
氏,し
氏名,しめい
自由,じゆう
理由,りゆう
札,さつ
千円札,せんえんさつ
国民,こくみん
辺り,あたり
この辺,このへん
付ける,つける
以外,いがい
以上,いじょう
以前,いぜん
失う,うしなう
失礼,しつれい
必ず,かならず
必死,ひっし
未だ,まだ
未来,みらい
末,すえ
年末,ねんまつ
月末,げつまつ
